latitude,longitude,FID,id,st_area(shape),st_perimeter(shape),
0,0,276,453,5.340595131266892e-8,0.0010574984666646273,
0,0,277,454,0.0000013882996930906795,0.005204390712872234,
0,0,278,456,5.340660518717907e-8,0.0010575065585502492,
0,0,279,457,2.633264121982835e-7,0.0025034559602381597,
0,0,280,460,5.3402761197857796e-8,0.0010574622528002398,
0,0,281,461,5.340297737396047e-8,0.0010574647245842333,
0,0,282,472,7.239351803426067e-7,0.0035066600981189045,
0,0,283,473,8.818887615596326e-7,0.004083735365876185,
0,0,284,474,1.709188286461565e-7,0.0019628510322150503,
0,0,285,475,0.000001553848183624422,0.005091025839758073,
0,0,286,476,6.065144760385771e-7,0.003906330354200769,
0,0,287,477,2.9690276627054814e-7,0.0025201814778192983,
0,0,288,479,7.094239042747594e-7,0.0034714970335928837,
0,0,289,480,3.547538649170473e-7,0.002432364186512755,
0,0,290,481,5.339960219923733e-8,0.0010574257248523273,
0,0,291,482,1.8070966945434307e-7,0.0019915758630592467,
0,0,292,489,0.000004979841954040979,0.010837615989777184,
0,0,293,490,0.000001938472810873226,0.006036023938418426,
0,0,294,492,0.0000062727972354081205,0.01427552912594925,
0,0,295,494,1.8479505112305547e-7,0.0019877393349863456,
0,0,296,495,5.340671486052956e-8,0.001057507115993729,
0,0,297,496,0.000009352010849494501,0.02335823400998857,
0,0,298,497,0.0000020092300964013226,0.005800101965721735,
0,0,299,498,1.0529567256143356e-7,0.0016367611766458033,
0,0,300,499,0.000005358648892321415,0.009895077045301516,
0,0,301,500,5.3406940802607085e-8,0.001057509302093663,
0,0,302,505,5.340640428696544e-8,0.0010575035377458544,
0,0,303,506,1.7093519120564106e-7,0.001962859925493699,
0,0,304,507,5.340698792353624e-8,0.0010575097822635303,
0,0,305,508,1.0529352347161069e-7,0.0016367283599339742,
0,0,306,509,1.0529427750126337e-7,0.001636742156036015,
0,0,307,511,5.469946950008082e-7,0.0030682644508606863,
0,0,308,512,5.340362038111174e-8,0.00105747127629242,
0,0,309,513,0.0000012311278033772817,0.0046115201918429174,
0,0,310,514,5.34049246261578e-8,0.0010574866370118674,
0,0,311,515,1.0529314362129482e-7,0.0016367219621766919,
0,0,312,516,0.0000014582954463520746,0.005081372423876237,
0,0,313,517,1.847966814441038e-7,0.001987756005765631,
0,0,314,518,1.0529442490451156e-7,0.0016367412644706096,
0,0,315,522,0.0000023035241340821636,0.00892879452106965,
0,0,316,523,0.000013481274288570112,0.02922649783902289,
0,0,317,525,0.0000016696931241696079,0.008524453023251027,
